type,by,post_id,post_link,post_message,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb
link,post_user_106839068915,106839068915_10155605652898916,https://www.facebook.com/106839068915/posts/10155605652898916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQBcVSdGsp9rqPjI&w=130&h=130&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExNDM1OTgwMzM5NzYzNjY3OjE5NzA2MDMzMQ%3D%3D&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQD1dKgAK5_KvtLZ&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExNDM1OTgwMzM5NzYzNjY3OjE5NzA2MDMzMQ%3D%3D,http://encuestaenserio.hol.es/,encuestaenserio.hol.es,2016-11-23T14:00:46+0000,1479909646,23/11/2016 15:00,3,0,3,2,5
link,post_user_106839068915,106839068915_10155542301103916,https://www.facebook.com/106839068915/posts/10155542301103916,Os comparto una noticia acerca del tratamiento que est� llevando a cabo el doctor Fumihiko Urano desde la Universidad de Washington. Os traduzco lo que m�s puede interesar y es lo que ya un poco se sabe: En 2017 durante 6 meses se va a probar con 12 pacientes adultos y 12 pedi�tricos un tratamiento para frenar el progreso de la enfermedad  un tratamiento que evita la destrucci�n de c�lulas neuronales y de c�lulas segregadoras de insulina. Dudan que pueda revertir la enfermedad (regenerar) pero est�n muy confiados en el hecho de poder frenar (ya ha funcionado en ratones y animales). En el enlace dejan un tel�fono y un email al que pod�is escribir para m�s informaci�n sobre la investigaci�n y tambi�n si quer�is ser de los que prueben el tratamiento  siempre y cuando os desplac�is a Washington :)   ,https://external.xx.fbcdn.net/safe_image.php?d=AQBkQNdaUEdMWmMB&w=130&h=130&url=https%3A%2F%2Fmedicine.wustl.edu%2Fwp-content%2Fuploads%2Fdanrtolene_primary.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQA0Acc0uLXGLpw6&url=https%3A%2F%2Fmedicine.wustl.edu%2Fwp-content%2Fuploads%2Fdanrtolene_primary.jpg,https://medicine.wustl.edu/news/researchers-launch-first-clinical-trial-wolfram-syndrome/,medicine.wustl.edu,2016-11-12T20:23:31+0000,1478982211,12/11/2016 21:23,11,5,11,7,23
status,post_user_106839068915,106839068915_10155542690993916,https://www.facebook.com/106839068915/posts/10155542690993916,,,,,,2016-11-12T21:47:32+0000,1478987252,12/11/2016 22:47,1,0,1,0,1
status,post_user_106839068915,106839068915_10155521963868916,https://www.facebook.com/106839068915/posts/10155521963868916,,,,,,2016-11-09T13:21:50+0000,1478697710,09/11/2016 14:21,5,1,6,3,10
link,post_user_106839068915,106839068915_10155032154658916,https://www.facebook.com/106839068915/posts/10155032154658916,,https://external.xx.fbcdn.net/safe_image.php?d=AQDrELupXv-XAwa7&w=130&h=130&url=http%3A%2F%2Fwww.innovaticias.com%2Fuserfiles%2Fextra%2Fthumbs%2F306_HQON_jtrhdgdfgdfa.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQDIgOBCoeXgJXW3&url=http%3A%2F%2Fwww.innovaticias.com%2Fuserfiles%2Fextra%2Fthumbs%2F306_HQON_jtrhdgdfgdfa.jpg,http://www.innovaticias.com/innovacion/37500/innovador-biosensor-que-mide-la-cantidad-de-glucosa-en-la-sangre-a-traves-de-la-piel,innovaticias.com,2016-07-20T22:35:40+0000,1469054140,21/07/2016 0:35,11,7,12,1,20
link,post_user_106839068915,106839068915_10155511032033916,https://www.facebook.com/106839068915/posts/10155511032033916,Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQCLvwNlkeOJIsro&w=130&h=130&url=http%3A%2F%2Fwww.elaespana.es%2Fwp-content%2Fuploads%2F2016%2F07%2F20160628_115234-300x233.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQAOxC6R7erqYwAL&url=http%3A%2F%2Fwww.elaespana.es%2Fwp-content%2Fuploads%2F2016%2F07%2F20160628_115234-300x233.jpg,http://www.elaespana.es/libro-de-relatos-ojala-fueran-cuentos/,elaespana.es,2016-11-07T15:37:19+0000,1478533039,07/11/2016 16:37,2,0,2,0,2
link,post_user_106839068915,106839068915_10155319881338916,https://www.facebook.com/106839068915/posts/10155319881338916,,https://external.xx.fbcdn.net/safe_image.php?d=AQATNR2DEuDV9wdw&w=130&h=130&url=https%3A%2F%2Flh6.googleusercontent.com%2F6bOmEqq4pV2c3WP8rxtsHbRwRY-n1KYsJCQaZ7mSYMsA15RNoy2Hf18A1uQh35IjEbc%3Dw1200-h630-p&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQB7VTmXAIRVNEf0&url=https%3A%2F%2Flh6.googleusercontent.com%2F6bOmEqq4pV2c3WP8rxtsHbRwRY-n1KYsJCQaZ7mSYMsA15RNoy2Hf18A1uQh35IjEbc%3Dw1200-h630-p,https://goo.gl/EJsTOx,goo.gl,2016-10-05T20:28:35+0000,1475699315,05/10/2016 22:28,2,0,2,0,2
link,post_user_106839068915,106839068915_10155287400338916,https://www.facebook.com/106839068915/posts/10155287400338916,,https://external.xx.fbcdn.net/safe_image.php?d=AQDE3LIbUGL_VHxd&w=130&h=130&url=http%3A%2F%2Fwww.immedicohospitalario.es%2Fuploads%2Fglucagon_spray_nasal_6574_23105835.jpg&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQBh3lcAIdg3z8wX&url=http%3A%2F%2Fwww.immedicohospitalario.es%2Fuploads%2Fglucagon_spray_nasal_6574_23105835.jpg,http://www.immedicohospitalario.es/noticia/6574/glucagon-en-spray-nasal-para-un-rapido-rescate-de-la-hipoglucemia,immedicohospitalario.es,2016-09-29T13:17:36+0000,1475155056,29/09/2016 15:17,8,0,8,4,12
link,post_user_106839068915,106839068915_10155287396843916,https://www.facebook.com/106839068915/posts/10155287396843916,Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de D�u Barcelona s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,https://external.xx.fbcdn.net/safe_image.php?d=AQCjavPOlt8VjYf1&w=130&h=130&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExNzQ5NDI1ODAxOTkwMTUzOjkzMjY1NTE2NA%3D%3D&cfs=1,https://external.xx.fbcdn.net/safe_image.php?d=AQBvSHFsfthd3gxS&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDExNzQ5NDI1ODAxOTkwMTUzOjkzMjY1NTE2NA%3D%3D,https://www.rarecommons.org/es/actualidad/sucede-laboratorio-genetica-ii,rarecommons.org,2016-09-29T13:16:35+0000,1475154995,29/09/2016 15:16,4,0,4,2,6
link,post_user_106839068915,106839068915_10155255242913916,https://www.facebook.com/106839068915/posts/10155255242913916,Julia Del Campo Garcia shared Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram s post to the group: Asociaci�n Espa�ola para la Investigaci�n y Ayuda al S�ndrome de Wolfram.,,,http://playloterias.com/Web_2_0/loteria-ASWOLFRAM,playloterias.com,2016-09-20T20:22:22+0000,1474402942,20/09/2016 22:22,3,2,4,1,7
